ASIN,Title,Author,PurchaseDate
"B01C9O35GA","Bipolar Disorder: The Ultimate Guide","Owen, Sarah:Saunders, Amanda:","N/A"
"B003TXT08I","Treating Bipolar Disorder: A Clinician's Guide to Interpersonal and Social Rhythm Therapy (Guides to Individualized Evidence-Based Treatment)","Frank, Ellen:","N/A"
"B082M377X1","How the Brain Works: The Facts Visually Explained (DK How Stuff Works)","DK:","N/A"
"B0CM86D99N","Get Scalable: The Operating System Your Business Needs To Run and Scale Without You","Deiss, Ryan:","N/A"
"B08BZXPTGJ","The Founders: The Story of Paypal and the Entrepreneurs Who Shaped Silicon Valley","Soni, Jimmy:","N/A"
"B0CTKQ51YS","From Invisible to Icon: How to Become a Known Expert in Your Industry","Fareed, John:Hunter, Sean:","N/A"
"B08ZD8F8BR","Launch (Updated & Expanded Edition): How to Sell Almost Anything Online, Build a Business You Love, and Live the Life of Your Dreams","Walker, Jeff:","N/A"
"B0C3ZH8FY5","Million Dollar Weekend: The Surprisingly Simple Way to Launch a 7-Figure Business in 48 Hours","Kagan, Noah:","N/A"
"B0CBCT8K78","Niche Navigator: How To Find A Profitable Niche In 1 Hour, Even If You've Struggled To Make Money Online For Years (The Internet Marketing Starter Pack Book 2)","Beckler, Miles:","N/A"
"B0CC6CT29H","Marketing Magic: How I produced 7 billion views, 50 million social media followers and $250,000,000 in yearly revenue without paid advertising!","Suarez, Manuel:","N/A"
"B0CD89VBNL","Canary In a Covid World: How Propaganda and Censorship Changed Our World","Edited by C.H. Klotz, Various Authors:Malone, Dr. Robert:Dowd, Edward:Fareed, Dr. George:Kory, Dr. Pierre:McCullough, Dr. Peter:Ladapo, Dr. Joseph:Breggin, Dr. Peter:Dr. Naomi Wolf:McAdam, Colin:Dr. Pierre Kory:Sir Christopher Chope:Elizabeth Woodworth:Dr. Michael Nevradakis:Dr. Jessica Rose:Dr. Joseph Fraiman:Trish Wood:Dr. Ryan Cole:Dr. Aseem Malhotra:Senator Ron Johnson:Dr. Norman Fenton:Rodney Palmer:Dr. Paul Marik:Dr. Jay Bhattacharya:Lord Sumption:Professor Bruce Pardy:Drs. James & Maggie Thorp:Steve Kirsch:John Leake:Dr Mary O’Connor:Dr. Harvey Risch:Dr. Sam Dubé:Margaret Anna Alice:Dr. Michael Rectenwald:Professor Denis Rancourt:Brianne Dressen:","N/A"
"B0C6L1JDMF","The Indoctrinated Brain: How to Successfully Fend Off the Global Attack on Your Mental Freedom","Nehls, Michael:","N/A"
"B09TQ451L3","The Wuhan Cover-Up: And the Terrifying Bioweapons Arms Race (Children’s Health Defense)","Kennedy, Robert F.:","N/A"
"B093RMTVL6","Unscripted - The Great Rat-Race Escape: From Wage Slavery to Wealth: How to Start a Purpose Driven Business and Win Financial Freedom for a Lifetime","DeMarco, MJ:","N/A"
